,Pclass,Age,Fare,is_child,family,is_alone,is_female,is_C,is_Q,is_S,Survived
0,3,34.5,7.8292,0,0,1,0,0,1,0,0
1,3,47.0,7.0,0,1,0,1,0,0,1,1
2,2,62.0,9.6875,0,0,1,0,0,1,0,0
3,3,27.0,8.6625,0,0,1,0,0,0,1,0
4,3,22.0,12.2875,0,2,0,1,0,0,1,1
5,3,14.0,9.225,1,0,1,0,0,0,1,0
6,3,30.0,7.6292,0,0,1,1,0,1,0,1
7,2,26.0,29.0,0,2,0,0,0,0,1,0
8,3,18.0,7.2292,0,0,1,1,1,0,0,1
9,3,21.0,24.15,0,2,0,0,0,0,1,0
10,3,33.5,7.8958,0,0,1,0,0,0,1,0
11,1,46.0,26.0,0,0,1,0,0,0,1,0
12,1,23.0,82.2667,0,1,0,1,0,0,1,1
13,2,63.0,26.0,0,1,0,0,0,0,1,0
14,1,47.0,61.175,0,1,0,1,0,0,1,1
15,2,24.0,27.7208,0,1,0,1,1,0,0,1
16,2,35.0,12.35,0,0,1,0,0,1,0,0
17,3,21.0,7.225,0,0,1,0,1,0,0,0
18,3,27.0,7.925,0,1,0,1,0,0,1,1
19,3,45.0,7.225,0,0,1,1,1,0,0,1
20,1,55.0,59.4,0,1,0,0,1,0,0,0
21,3,9.0,3.1708,1,1,0,0,0,0,1,0
22,1,15.0,31.6833,1,0,1,1,0,0,1,1
23,1,21.0,61.3792,0,1,0,0,1,0,0,1
24,1,48.0,262.375,0,4,0,1,1,0,0,1
25,3,50.0,14.5,0,1,0,0,0,0,1,0
26,1,22.0,61.9792,0,1,0,1,1,0,0,1
27,3,22.5,7.225,0,0,1,0,1,0,0,0
28,1,41.0,30.5,0,0,1,0,0,0,1,0
29,3,45.5,21.6792,0,2,0,0,1,0,0,0
30,2,50.0,26.0,0,1,0,0,0,0,1,0
31,2,24.0,31.5,0,2,0,0,0,0,1,0
32,3,33.0,20.575,0,3,0,1,0,0,1,0
33,3,31.5,23.45,0,3,0,1,0,0,1,0
34,1,30.0,57.75,0,1,0,0,1,0,0,1
35,3,18.5,7.2292,0,0,1,0,1,0,0,0
36,3,19.75,8.05,0,0,1,1,0,0,1,1
37,3,21.0,8.6625,0,0,1,1,0,0,1,1
38,3,25.0,9.5,0,0,1,0,0,0,1,0
39,3,32.0,56.4958,0,0,1,0,0,0,1,0
40,3,39.0,13.4167,0,1,0,0,1,0,0,0
41,1,40.0,26.55,0,0,1,0,0,0,1,0
42,3,41.0,7.85,0,0,1,0,0,0,1,0
43,2,30.0,13.0,0,0,1,1,0,0,1,1
44,1,45.0,52.5542,0,1,0,1,0,0,1,1
45,3,25.0,7.925,0,0,1,0,0,0,1,0
46,1,45.0,29.7,0,0,1,0,1,0,0,0
47,3,52.5,7.75,0,0,1,0,0,1,0,0
48,1,60.0,76.2917,0,0,1,1,1,0,0,1
49,3,36.0,15.9,0,2,0,1,0,0,1,1
50,1,24.0,60.0,0,1,0,0,0,0,1,0
51,2,27.0,15.0333,0,0,1,0,1,0,0,0
52,2,20.0,23.0,0,3,0,1,0,0,1,1
53,1,28.0,263.0,0,5,0,1,0,0,1,1
54,2,19.0,15.5792,0,0,1,0,1,0,0,0
55,3,10.0,29.125,1,5,0,0,0,1,0,0
56,3,35.0,7.8958,0,0,1,0,0,0,1,0
57,3,25.0,7.65,0,0,1,0,0,0,1,0
58,3,30.5,16.1,0,1,0,0,0,0,1,0
59,1,36.0,262.375,0,0,1,1,1,0,0,1
60,3,17.0,7.8958,0,0,1,0,0,0,1,0
61,2,32.0,13.5,0,0,1,0,0,0,1,0
62,3,18.0,7.75,0,0,1,0,0,0,1,0
63,3,22.0,7.725,0,0,1,1,0,1,0,1
64,1,13.0,262.375,1,4,0,0,1,0,0,1
65,2,15.5,21.0,0,0,1,1,0,0,1,1
66,3,18.0,7.8792,0,0,1,1,0,1,0,1
67,1,47.0,42.4,0,0,1,0,0,0,1,0
68,1,31.0,28.5375,0,0,1,0,1,0,0,0
69,1,60.0,263.0,0,5,0,1,0,0,1,1
70,3,24.0,7.75,0,0,1,1,0,1,0,1
71,3,21.0,7.8958,0,0,1,0,0,0,1,0
72,3,29.0,7.925,0,0,1,1,0,0,1,1
73,1,28.5,27.7208,0,0,1,0,1,0,0,0
74,1,35.0,211.5,0,0,1,1,1,0,0,1
75,1,32.5,211.5,0,0,1,0,1,0,0,1
76,3,43.75,8.05,0,0,1,0,0,0,1,0
77,1,55.0,25.7,0,2,0,1,0,0,1,1
78,2,30.0,13.0,0,0,1,0,0,0,1,0
79,3,24.0,7.75,0,0,1,1,0,1,0,1
80,3,6.0,15.2458,1,2,0,0,1,0,0,0
81,1,67.0,221.7792,0,1,0,0,0,0,1,0
82,1,49.0,26.0,0,0,1,0,0,0,1,0
83,3,43.5,7.8958,0,0,1,0,0,0,1,0
84,2,38.0,10.7083,0,0,1,0,0,1,0,0
85,3,32.5,14.4542,0,1,0,0,1,0,0,0
86,3,27.0,7.8792,0,0,1,1,0,1,0,1
87,3,18.0,8.05,0,0,1,1,0,0,1,1
88,3,10.0,7.75,1,0,1,1,0,1,0,1
89,2,2.0,23.0,1,2,0,0,0,0,1,0
90,3,22.0,13.9,0,1,0,1,0,0,1,1
91,3,24.5,7.775,0,0,1,0,0,0,1,0
92,1,27.0,52.0,0,3,0,1,0,0,1,1
93,3,26.0,8.05,0,0,1,0,0,0,1,0
94,1,25.0,26.0,0,0,1,0,1,0,0,0
95,3,25.0,7.7958,0,0,1,0,0,0,1,0
96,1,76.0,78.85,0,1,0,1,0,0,1,1
97,3,29.0,7.925,0,0,1,0,0,0,1,0
98,3,20.0,7.8542,0,0,1,1,0,0,1,1
99,3,33.0,8.05,0,0,1,0,0,0,1,0
100,1,43.0,55.4417,0,1,0,1,1,0,0,1
101,2,27.0,26.0,0,1,0,0,0,0,1,0
102,3,26.5,7.75,0,0,1,0,0,1,0,0
103,3,26.0,7.775,0,0,1,0,0,0,1,0
104,3,16.0,8.5167,0,2,0,1,1,0,0,1
105,3,28.0,22.525,0,0,1,0,0,0,1,0
106,3,21.0,7.8208,0,0,1,0,0,1,0,0
107,3,20.166666666666668,7.75,0,0,1,0,0,1,0,0
108,3,19.333333333333332,8.7125,0,0,1,0,0,0,1,0
109,2,18.5,13.0,0,0,1,0,0,0,1,0
110,2,41.0,15.0458,0,0,1,0,1,0,0,0
111,3,38.5,7.7792,0,0,1,1,0,1,0,1
112,1,36.0,31.6792,0,0,1,1,1,0,0,1
113,3,18.5,7.2833,0,0,1,1,0,1,0,1
114,1,63.0,221.7792,0,1,0,1,0,0,1,1
115,3,18.0,14.4542,0,1,0,0,1,0,0,0
116,3,9.5,6.4375,1,0,1,0,1,0,0,0
117,3,1.0,16.7,1,2,0,1,0,0,1,1
118,1,36.0,75.2417,0,0,1,0,1,0,0,0
119,2,29.0,26.0,0,1,0,1,0,0,1,1
120,2,12.0,15.75,1,0,1,1,0,0,1,1
121,3,23.5,7.75,0,1,0,0,0,1,0,0
122,1,35.0,57.75,0,1,0,1,1,0,0,1
123,3,28.0,7.25,0,0,1,0,0,0,1,0
124,3,22.5,7.75,0,0,1,0,0,1,0,0
125,3,17.0,16.1,0,1,0,1,0,0,1,1
126,3,22.0,7.7958,0,0,1,0,0,0,1,0
127,3,32.0,23.25,0,2,0,1,0,1,0,1
128,2,42.0,13.0,0,0,1,0,0,0,1,0
129,3,24.0,8.05,0,0,1,0,0,0,1,0
130,3,32.0,8.05,0,0,1,0,0,0,1,0
131,1,53.0,28.5,0,0,1,0,1,0,0,0
132,3,49.666666666666664,25.4667,0,4,0,1,0,0,1,0
133,3,46.333333333333336,6.4375,0,1,0,0,1,0,0,0
134,3,43.0,7.8958,0,0,1,0,0,0,1,0
135,3,24.0,7.8542,0,0,1,0,0,0,1,0
136,3,26.5,7.225,0,0,1,0,1,0,0,0
137,2,26.0,13.0,0,0,1,0,0,0,1,0
138,3,23.0,8.05,0,0,1,1,0,0,1,1
139,3,40.0,46.9,0,7,0,0,0,0,1,0
140,3,10.0,46.9,1,7,0,1,0,0,1,0
141,1,33.0,151.55,0,0,1,1,0,0,1,1
142,1,61.0,262.375,0,4,0,0,1,0,0,0
143,2,28.0,26.0,0,0,1,0,0,0,1,0
144,1,42.0,26.55,0,0,1,0,0,0,1,0
145,3,31.0,18.0,0,3,0,0,0,0,1,0
146,1,26.5,51.8625,0,0,1,0,0,0,1,0
147,3,22.0,8.05,0,0,1,0,0,0,1,0
148,1,26.0,26.55,0,0,1,0,0,0,1,0
149,2,30.0,26.0,0,2,0,0,0,0,1,0
150,1,23.0,83.1583,0,1,0,1,1,0,0,1
151,3,41.75,7.8958,0,0,1,0,1,0,0,0
